ID,Name,Date,Lat,Lon,Direction,ADT,HV,AWDT,AWET,Avg_Speed,85_speed,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,ID_Date
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Combined,288,3,323,201,31.6,39.9,1,0,0,1,1,1,3,16,27,17,14,15,17,21,25,41,22,21,18,12,7,4,2,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Primary,130,2.4,147,88,32.1,40.5,0,0,0,1,1,1,1,8,14,8,7,8,6,10,11,23,8,8,7,4,2,1,0,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Secondary,158,3.4,176,113,31.2,39.4,0,0,0,0,0,0,1,8,13,9,6,8,11,11,14,18,14,13,11,8,5,3,2,0,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Combined,288,3,323,201,31.6,39.9,1,0,0,1,1,1,3,16,27,17,14,15,17,21,25,41,22,21,18,12,7,4,2,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Primary,130,2.4,147,88,32.1,40.5,0,0,0,1,1,1,1,8,14,8,7,8,6,10,11,23,8,8,7,4,2,1,0,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Secondary,158,3.4,176,113,31.2,39.4,0,0,0,0,0,0,1,8,13,9,6,8,11,11,14,18,14,13,11,8,5,3,2,0,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Combined,288,3,323,201,31.6,39.9,1,0,0,1,1,1,3,16,27,17,14,15,17,21,25,41,22,21,18,12,7,4,2,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Primary,130,2.4,147,88,32.1,40.5,0,0,0,1,1,1,1,8,14,8,7,8,6,10,11,23,8,8,7,4,2,1,0,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Secondary,158,3.4,176,113,31.2,39.4,0,0,0,0,0,0,1,8,13,9,6,8,11,11,14,18,14,13,11,8,5,3,2,0,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Combined,288,3,323,201,31.6,39.9,1,0,0,1,1,1,3,16,27,17,14,15,17,21,25,41,22,21,18,12,7,4,2,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Primary,130,2.4,147,88,32.1,40.5,0,0,0,1,1,1,1,8,14,8,7,8,6,10,11,23,8,8,7,4,2,1,0,1,L5524_11/03/2012
L5524,THORRINGTON RD COLOMBO ST to WHERSTEAD RD,11/03/2012,-43.564397,172.635581,Secondary,158,3.4,176,113,31.2,39.4,0,0,0,0,0,0,1,8,13,9,6,8,11,11,14,18,14,13,11,8,5,3,2,0,L5524_11/03/2012
L0159,GREERS RD 1 SOUTH GRAHAMS RD WAIRAKEI RD to SAFFRON ST,12/05/2012,-43.4986,172.587,Combined,9883,4.6,10235,9002,46.3,52.2,47,27,23,25,38,104,239,539,671,583,619,659,686,695,779,748,765,715,606,439,343,280,160,95,L0159_12/05/2012
